x,y
0.0,-10
0.4,-9.992
0.566,-9.984
0.693,-9.976
0.8,-9.968
0.894,-9.96
0.979,-9.952
1.057,-9.944
1.13,-9.936
1.198,-9.928
1.263,-9.92
1.324,-9.912
1.383,-9.904
1.439,-9.896
1.493,-9.888
1.545,-9.88
1.595,-9.872
1.644,-9.864
1.691,-9.856
1.737,-9.848
1.782,-9.84
1.826,-9.832
1.868,-9.824
1.91,-9.816
1.951,-9.808
1.99,-9.8
2.029,-9.792
2.068,-9.784
2.105,-9.776
2.142,-9.768
2.178,-9.76
2.214,-9.752
2.249,-9.744
2.283,-9.736
2.317,-9.728
2.35,-9.72
2.383,-9.712
2.416,-9.704
2.447,-9.696
2.479,-9.688
2.51,-9.68
2.541,-9.672
2.571,-9.664
2.601,-9.656
2.63,-9.648
2.66,-9.64
2.688,-9.632
2.717,-9.624
2.745,-9.616
2.773,-9.608
2.801,-9.6
2.828,-9.592
2.855,-9.584
2.882,-9.576
2.908,-9.568
2.934,-9.56
2.96,-9.552
2.986,-9.544
3.011,-9.536
3.036,-9.528
3.061,-9.52
3.086,-9.512
3.111,-9.504
3.135,-9.496
3.159,-9.488
3.183,-9.48
3.207,-9.472
3.23,-9.464
3.254,-9.456
3.277,-9.448
3.3,-9.44
3.323,-9.432
3.345,-9.424
3.368,-9.416
3.39,-9.408
3.412,-9.4
3.434,-9.392
3.456,-9.384
3.478,-9.376
3.499,-9.368
3.521,-9.36
3.542,-9.352
3.563,-9.344
3.584,-9.336
3.604,-9.328
3.625,-9.32
3.646,-9.312
3.666,-9.304
3.686,-9.296
3.706,-9.288
3.726,-9.28
3.746,-9.272
3.766,-9.264
3.786,-9.256
3.805,-9.248
3.824,-9.24
3.844,-9.232
3.863,-9.224
3.882,-9.216
3.901,-9.208
3.92,-9.2
3.938,-9.192
3.957,-9.184
3.976,-9.176
3.994,-9.168
4.012,-9.16
4.03,-9.152
4.049,-9.144
4.067,-9.136
4.085,-9.128
4.102,-9.12
4.12,-9.112
4.138,-9.104
4.155,-9.096
4.173,-9.088
4.19,-9.08
4.207,-9.072
4.225,-9.064
4.242,-9.056
4.259,-9.048
4.276,-9.04
4.293,-9.032
4.309,-9.024
4.326,-9.016
4.343,-9.008
4.359,-9.0
4.376,-8.992
4.392,-8.984
4.409,-8.976
4.425,-8.968
4.441,-8.96
4.457,-8.952
