x,y
0.0,-25
0.2122,-24.9991
0.3,-24.9982
0.3606,-24.9974
0.4184,-24.9965
0.4637,-24.9957
0.5099,-24.9948
0.5477,-24.994
0.5874,-24.9931
0.6245,-24.9922
0.6557,-24.9914
0.6892,-24.9905
0.7176,-24.9897
0.7483,-24.9888
0.7746,-24.988
0.8031,-24.9871
0.8276,-24.9863
0.8543,-24.9854
0.8803,-24.9845
0.9027,-24.9837
0.9273,-24.9828
0.9486,-24.982
0.972,-24.9811
0.9923,-24.9803
1.0147,-24.9794
1.0366,-24.9785
1.0558,-24.9777
1.0768,-24.9768
1.0952,-24.976
1.1156,-24.9751
1.1333,-24.9743
1.153,-24.9734
1.1702,-24.9726
1.1893,-24.9717
1.208,-24.9708
1.2244,-24.97
1.2426,-24.9691
1.2586,-24.9683
1.2763,-24.9674
1.2919,-24.9666
1.3092,-24.9657
1.3262,-24.9648
1.3412,-24.964
1.3579,-24.9631
1.3725,-24.9623
1.3888,-24.9614
1.4031,-24.9606
1.419,-24.9597
1.433,-24.9589
1.4486,-24.958
1.464,-24.9571
1.4776,-24.9563
1.4927,-24.9554
1.506,-24.9546
1.5209,-24.9537
1.5339,-24.9529
1.5485,-24.952
1.5613,-24.9512
1.5757,-24.9503
1.5898,-24.9494
1.6023,-24.9486
1.6163,-24.9477
1.6286,-24.9469
1.6423,-24.946
1.6544,-24.9452
1.668,-24.9443
1.6814,-24.9434
1.6932,-24.9426
1.7064,-24.9417
1.718,-24.9409
1.7311,-24.94
1.7425,-24.9392
1.7554,-24.9383
1.7667,-24.9375
1.7794,-24.9366
1.7919,-24.9357
1.803,-24.9349
1.8154,-24.934
1.8264,-24.9332
1.8386,-24.9323
1.8495,-24.9315
1.8616,-24.9306
1.8736,-24.9297
1.8842,-24.9289
1.896,-24.928
1.9065,-24.9272
1.9183,-24.9263
1.9286,-24.9255
1.9402,-24.9246
1.9505,-24.9238
1.962,-24.9229
1.9734,-24.922
1.9834,-24.9212
1.9947,-24.9203
2.0047,-24.9195
2.0158,-24.9186
2.0257,-24.9178
2.0367,-24.9169
2.0477,-24.916
2.0574,-24.9152
2.0683,-24.9143
2.0779,-24.9135
2.0887,-24.9126
2.0982,-24.9118
2.1089,-24.9109
2.1183,-24.9101
2.1288,-24.9092
2.1393,-24.9083
2.1486,-24.9075
2.159,-24.9066
2.1683,-24.9058
2.1786,-24.9049
2.1877,-24.9041
2.1979,-24.9032
2.2081,-24.9023
2.2171,-24.9015
2.2272,-24.9006
2.2361,-24.8998
2.2461,-24.8989
2.255,-24.8981
2.2649,-24.8972
2.2737,-24.8964
2.2835,-24.8955
2.2933,-24.8946
2.3019,-24.8938
2.3117,-24.8929
2.3203,-24.8921
2.3299,-24.8912
2.3384,-24.8904
2.348,-24.8895
2.3564,-24.8887
2.3659,-24.8878
2.3754,-24.8869
2.3838,-24.8861
2.3931,-24.8852
2.4014,-24.8844
2.4107,-24.8835
2.419,-24.8827
2.4282,-24.8818
2.4374,-24.8809
2.4456,-24.8801
2.4547,-24.8792
2.4628,-24.8784
2.4719,-24.8775
2.4799,-24.8767
2.4889,-24.8758
2.4969,-24.875
2.5059,-24.8741
2.5148,-24.8732
2.5227,-24.8724
2.5315,-24.8715
2.5394,-24.8707
2.5482,-24.8698
2.556,-24.869
2.5647,-24.8681
2.5734,-24.8672
2.5812,-24.8664
2.5898,-24.8655
2.5975,-24.8647
2.6061,-24.8638
2.6137,-24.863
2.6223,-24.8621
2.6298,-24.8613
2.6383,-24.8604
2.6468,-24.8595
2.6543,-24.8587
2.6627,-24.8578
2.6702,-24.857
2.6785,-24.8561
2.686,-24.8553
2.6943,-24.8544
2.7026,-24.8535
2.7099,-24.8527
2.7181,-24.8518
2.7254,-24.851
2.7336,-24.8501
2.7409,-24.8493
2.7491,-24.8484
2.7563,-24.8476
2.7644,-24.8467
2.7725,-24.8458
2.7796,-24.845
2.7876,-24.8441
2.7948,-24.8433
2.8028,-24.8424
2.8098,-24.8416
2.8178,-24.8407
2.8257,-24.8398
2.8327,-24.839
2.8406,-24.8381
2.8476,-24.8373
2.8554,-24.8364
2.8624,-24.8356
2.8702,-24.8347
2.8771,-24.8339
2.8849,-24.833
2.8926,-24.8321
2.8995,-24.8313
2.9072,-24.8304
2.914,-24.8296
2.9216,-24.8287
2.9284,-24.8279
2.936,-24.827
2.9428,-24.8262
2.9504,-24.8253
2.9579,-24.8244
2.9647,-24.8236
2.9722,-24.8227
2.9789,-24.8219
2.9863,-24.821
2.993,-24.8202
