x,y
0.0,-40
0.253,-39.9992
0.3578,-39.9984
0.4382,-39.9976
0.506,-39.9968
0.5657,-39.996
0.6197,-39.9952
0.6694,-39.9944
0.7156,-39.9936
0.759,-39.9928
0.8,-39.992
0.8391,-39.9912
0.8764,-39.9904
0.9121,-39.9896
0.9466,-39.9888
0.9798,-39.988
1.0119,-39.9872
1.043,-39.9864
1.0733,-39.9856
1.1027,-39.9848
1.1313,-39.984
1.1592,-39.9832
1.1865,-39.9824
1.2132,-39.9816
1.2393,-39.9808
1.2648,-39.98
1.2898,-39.9792
1.3144,-39.9784
1.3385,-39.9776
1.3622,-39.9768
1.3855,-39.976
1.4084,-39.9752
1.4309,-39.9744
1.4531,-39.9736
1.4749,-39.9728
1.4965,-39.972
1.5177,-39.9712
1.5386,-39.9704
1.5592,-39.9696
1.5796,-39.9688
1.5997,-39.968
1.6196,-39.9672
1.6392,-39.9664
1.6586,-39.9656
1.6778,-39.9648
1.6967,-39.964
1.7155,-39.9632
1.734,-39.9624
1.7523,-39.9616
1.7705,-39.9608
1.7885,-39.96
1.8062,-39.9592
1.8239,-39.9584
1.8413,-39.9576
1.8586,-39.9568
1.8757,-39.956
1.8927,-39.9552
1.9095,-39.9544
1.9261,-39.9536
1.9427,-39.9528
1.9591,-39.952
1.9753,-39.9512
1.9914,-39.9504
2.0074,-39.9496
2.0233,-39.9488
2.039,-39.948
2.0546,-39.9472
2.0701,-39.9464
2.0855,-39.9456
2.1008,-39.9448
2.1159,-39.944
2.131,-39.9432
2.1459,-39.9424
2.1607,-39.9416
2.1755,-39.9408
2.1901,-39.94
2.2047,-39.9392
2.2191,-39.9384
2.2335,-39.9376
2.2477,-39.9368
2.2619,-39.936
2.276,-39.9352
2.29,-39.9344
2.3039,-39.9336
2.3177,-39.9328
2.3314,-39.932
2.3451,-39.9312
2.3587,-39.9304
2.3722,-39.9296
2.3856,-39.9288
2.399,-39.928
2.4122,-39.9272
2.4255,-39.9264
2.4386,-39.9256
2.4517,-39.9248
2.4646,-39.924
2.4776,-39.9232
2.4904,-39.9224
2.5032,-39.9216
2.5159,-39.9208
2.5286,-39.92
2.5412,-39.9192
2.5537,-39.9184
2.5662,-39.9176
2.5786,-39.9168
2.591,-39.916
2.6033,-39.9152
2.6155,-39.9144
2.6277,-39.9136
2.6398,-39.9128
2.6519,-39.912
2.6639,-39.9112
2.6759,-39.9104
2.6878,-39.9096
2.6996,-39.9088
2.7114,-39.908
2.7232,-39.9072
2.7349,-39.9064
2.7465,-39.9056
2.7581,-39.9048
2.7697,-39.904
2.7812,-39.9032
2.7926,-39.9024
2.804,-39.9016
2.8154,-39.9008
2.8267,-39.9
2.838,-39.8992
2.8492,-39.8984
2.8604,-39.8976
2.8715,-39.8968
2.8826,-39.896
2.8937,-39.8952
2.9047,-39.8944
2.9156,-39.8936
2.9266,-39.8928
2.9375,-39.892
2.9483,-39.8912
2.9591,-39.8904
2.9699,-39.8896
2.9806,-39.8888
2.9913,-39.888
3.0019,-39.8872
3.0125,-39.8864
3.0231,-39.8856
3.0337,-39.8848
3.0441,-39.884
3.0546,-39.8832
3.065,-39.8824
3.0754,-39.8816
3.0858,-39.8808
3.0961,-39.88
3.1064,-39.8792
3.1167,-39.8784
3.1269,-39.8776
3.1371,-39.8768
3.1472,-39.876
3.1573,-39.8752
3.1674,-39.8744
3.1775,-39.8736
3.1875,-39.8728
3.1975,-39.872
3.2074,-39.8712
3.2174,-39.8704
3.2273,-39.8696
3.2371,-39.8688
3.247,-39.868
3.2568,-39.8672
3.2666,-39.8664
3.2763,-39.8656
3.286,-39.8648
3.2957,-39.864
3.3054,-39.8632
3.315,-39.8624
3.3246,-39.8616
3.3342,-39.8608
3.3438,-39.86
3.3533,-39.8592
3.3628,-39.8584
3.3722,-39.8576
3.3817,-39.8568
3.3911,-39.856
3.4005,-39.8552
3.4099,-39.8544
3.4192,-39.8536
3.4285,-39.8528
3.4378,-39.852
3.4471,-39.8512
3.4563,-39.8504
3.4655,-39.8496
3.4747,-39.8488
3.4839,-39.848
3.493,-39.8472
3.5021,-39.8464
3.5112,-39.8456
3.5203,-39.8448
3.5293,-39.844
3.5383,-39.8432
3.5473,-39.8424
3.5563,-39.8416
3.5653,-39.8408
3.5742,-39.84
3.5831,-39.8392
3.592,-39.8384
3.6008,-39.8376
3.6097,-39.8368
3.6185,-39.836
3.6273,-39.8352
3.6361,-39.8344
3.6448,-39.8336
3.6535,-39.8328
3.6623,-39.832
3.6709,-39.8312
3.6796,-39.8304
3.6883,-39.8296
3.6969,-39.8288
3.7055,-39.828
3.7141,-39.8272
3.7227,-39.8264
3.7312,-39.8256
3.7397,-39.8248
3.7483,-39.824
3.7567,-39.8232
3.7652,-39.8224
3.7737,-39.8216
3.7821,-39.8208
3.7905,-39.82
3.7989,-39.8192
3.8073,-39.8184
3.8156,-39.8176
3.824,-39.8168
3.8323,-39.816
3.8406,-39.8152
3.8489,-39.8144
3.8572,-39.8136
3.8654,-39.8128
3.8736,-39.812
3.8818,-39.8112
3.89,-39.8104
3.8982,-39.8096
3.9064,-39.8088
3.9145,-39.808
3.9227,-39.8072
3.9308,-39.8064
3.9389,-39.8056
3.9469,-39.8048
3.955,-39.804
3.963,-39.8032
3.9711,-39.8024
3.9791,-39.8016
3.9871,-39.8008
3.995,-39.8
4.003,-39.7992
4.011,-39.7984
4.0189,-39.7976
4.0268,-39.7968
4.0347,-39.796
4.0426,-39.7952
4.0504,-39.7944
4.0583,-39.7936
4.0661,-39.7928
4.074,-39.792
4.0818,-39.7912
4.0896,-39.7904
4.0973,-39.7896
4.1051,-39.7888
4.1128,-39.788
4.1206,-39.7872
4.1283,-39.7864
4.136,-39.7856
4.1437,-39.7848
4.1514,-39.784
4.159,-39.7832
4.1667,-39.7824
4.1743,-39.7816
4.1819,-39.7808
4.1895,-39.78
4.1971,-39.7792
4.2047,-39.7784
4.2122,-39.7776
4.2198,-39.7768
4.2273,-39.776
4.2348,-39.7752
4.2423,-39.7744
4.2498,-39.7736
4.2573,-39.7728
4.2648,-39.772
4.2722,-39.7712
4.2797,-39.7704
4.2871,-39.7696
4.2945,-39.7688
4.3019,-39.768
4.3093,-39.7672
4.3167,-39.7664
4.3241,-39.7656
4.3314,-39.7648
4.3387,-39.764
4.3461,-39.7632
4.3534,-39.7624
4.3607,-39.7616
4.368,-39.7608
4.3753,-39.76
4.3825,-39.7592
4.3898,-39.7584
4.397,-39.7576
4.4042,-39.7568
4.4115,-39.756
4.4187,-39.7552
4.4258,-39.7544
4.433,-39.7536
4.4402,-39.7528
4.4474,-39.752
4.4545,-39.7512
4.4616,-39.7504
4.4688,-39.7496
4.4759,-39.7488
4.483,-39.748
4.49,-39.7472
4.4971,-39.7464
4.5042,-39.7456
4.5112,-39.7448
4.5183,-39.744
4.5253,-39.7432
4.5323,-39.7424
4.5393,-39.7416
4.5463,-39.7408
4.5533,-39.74
4.5603,-39.7392
4.5673,-39.7384
4.5742,-39.7376
4.5812,-39.7368
4.5881,-39.736
4.595,-39.7352
4.6019,-39.7344
4.6088,-39.7336
4.6157,-39.7328
4.6226,-39.732
4.6295,-39.7312
4.6364,-39.7304
4.6432,-39.7296
4.65,-39.7288
4.6569,-39.728
4.6637,-39.7272
4.6705,-39.7264
4.6773,-39.7256
4.6841,-39.7248
4.6909,-39.724
4.6976,-39.7232
4.7044,-39.7224
4.7112,-39.7216
4.7179,-39.7208
4.7246,-39.72
4.7313,-39.7192
4.7381,-39.7184
4.7448,-39.7176
4.7514,-39.7168
4.7581,-39.716
4.7648,-39.7152
4.7715,-39.7144
4.7781,-39.7136
4.7848,-39.7128
4.7914,-39.712
4.798,-39.7112
4.8046,-39.7104
4.8113,-39.7096
4.8179,-39.7088
4.8244,-39.708
4.831,-39.7072
4.8376,-39.7064
4.8442,-39.7056
4.8507,-39.7048
4.8572,-39.704
4.8638,-39.7032
4.8703,-39.7024
4.8768,-39.7016
4.8833,-39.7008
4.8898,-39.7
4.8963,-39.6992
4.9028,-39.6984
4.9093,-39.6976
4.9157,-39.6968
4.9222,-39.696
4.9286,-39.6952
4.9351,-39.6944
4.9415,-39.6936
4.9479,-39.6928
4.9544,-39.692
4.9608,-39.6912
4.9672,-39.6904
4.9735,-39.6896
4.9799,-39.6888
4.9863,-39.688
4.9927,-39.6872
4.999,-39.6864
5.0054,-39.6856
5.0117,-39.6848
5.018,-39.684
5.0244,-39.6832
5.0307,-39.6824
5.037,-39.6816
5.0433,-39.6808
5.0496,-39.68
5.0558,-39.6792
5.0621,-39.6784
5.0684,-39.6776
5.0746,-39.6768
5.0809,-39.676
5.0871,-39.6752
5.0934,-39.6744
5.0996,-39.6736
5.1058,-39.6728
5.112,-39.672
5.1182,-39.6712
5.1244,-39.6704
5.1306,-39.6696
5.1368,-39.6688
5.143,-39.668
5.1492,-39.6672
5.1553,-39.6664
5.1615,-39.6656
5.1676,-39.6648
5.1737,-39.664
5.1799,-39.6632
5.186,-39.6624
5.1921,-39.6616
5.1982,-39.6608
5.2043,-39.66
5.2104,-39.6592
5.2165,-39.6584
5.2226,-39.6576
5.2286,-39.6568
5.2347,-39.656
5.2408,-39.6552
5.2468,-39.6544
5.2529,-39.6536
5.2589,-39.6528
5.2649,-39.652
5.2709,-39.6512
5.277,-39.6504
5.283,-39.6496
5.289,-39.6488
5.295,-39.648
5.3009,-39.6472
5.3069,-39.6464
5.3129,-39.6456
5.3189,-39.6448
5.3248,-39.644
5.3308,-39.6432
5.3367,-39.6424
5.3427,-39.6416
5.3486,-39.6408
5.3545,-39.64
5.3604,-39.6392
5.3664,-39.6384
5.3723,-39.6376
5.3782,-39.6368
5.3841,-39.636
5.3899,-39.6352
5.3958,-39.6344
5.4017,-39.6336
5.4076,-39.6328
5.4134,-39.632
5.4193,-39.6312
5.4251,-39.6304
5.431,-39.6296
5.4368,-39.6288
5.4426,-39.628
5.4484,-39.6272
5.4543,-39.6264
5.4601,-39.6256
5.4659,-39.6248
5.4717,-39.624
5.4775,-39.6232
5.4832,-39.6224
5.489,-39.6216
5.4948,-39.6208
5.5006,-39.62
5.5063,-39.6192
5.5121,-39.6184
5.5178,-39.6176
5.5236,-39.6168
5.5293,-39.616
5.535,-39.6152
5.5407,-39.6144
5.5465,-39.6136
5.5522,-39.6128
5.5579,-39.612
5.5636,-39.6112
5.5693,-39.6104
5.575,-39.6096
5.5806,-39.6088
5.5863,-39.608
5.592,-39.6072
5.5976,-39.6064
5.6033,-39.6056
5.609,-39.6048
5.6146,-39.604
5.6202,-39.6032
5.6259,-39.6024
5.6315,-39.6016
5.6371,-39.6008
5.6427,-39.6
5.6484,-39.5992
5.654,-39.5984
5.6596,-39.5976
5.6652,-39.5968
5.6707,-39.596
5.6763,-39.5952
5.6819,-39.5944
5.6875,-39.5936
5.693,-39.5928
5.6986,-39.592
5.7042,-39.5912
5.7097,-39.5904
5.7153,-39.5896
