x,y
0.0,-21
0.1945,-20.9991
0.275,-20.9982
0.3305,-20.9974
0.3834,-20.9965
0.425,-20.9957
0.4674,-20.9948
0.502,-20.994
0.5383,-20.9931
0.5724,-20.9922
0.601,-20.9914
0.6316,-20.9905
0.6577,-20.9897
0.6858,-20.9888
0.7099,-20.988
0.736,-20.9871
0.7585,-20.9863
0.783,-20.9854
0.8067,-20.9845
0.8273,-20.9837
0.8498,-20.9828
0.8693,-20.982
0.8908,-20.9811
0.9095,-20.9803
0.93,-20.9794
0.9501,-20.9785
0.9676,-20.9777
0.9869,-20.9768
1.0038,-20.976
1.0224,-20.9751
1.0387,-20.9743
1.0567,-20.9734
1.0725,-20.9726
1.0899,-20.9717
1.1071,-20.9708
1.1221,-20.97
1.1388,-20.9691
1.1535,-20.9683
1.1697,-20.9674
1.184,-20.9666
1.1998,-20.9657
1.2154,-20.9648
1.2292,-20.964
1.2444,-20.9631
1.2578,-20.9623
1.2727,-20.9614
1.2858,-20.9606
1.3004,-20.9597
1.3133,-20.9589
1.3275,-20.958
1.3417,-20.9571
1.3541,-20.9563
1.368,-20.9554
1.3802,-20.9546
1.3938,-20.9537
1.4057,-20.9529
1.4191,-20.952
1.4309,-20.9512
1.444,-20.9503
1.457,-20.9494
1.4684,-20.9486
1.4812,-20.9477
1.4925,-20.9469
1.5051,-20.946
1.5162,-20.9452
1.5285,-20.9443
1.5408,-20.9434
1.5517,-20.9426
1.5638,-20.9417
1.5744,-20.9409
1.5864,-20.94
1.5969,-20.9392
1.6086,-20.9383
1.619,-20.9375
1.6306,-20.9366
1.6421,-20.9357
1.6523,-20.9349
1.6637,-20.934
1.6737,-20.9332
1.6849,-20.9323
1.6948,-20.9315
1.7059,-20.9306
1.7169,-20.9297
1.7266,-20.9289
1.7375,-20.928
1.7471,-20.9272
1.7579,-20.9263
1.7674,-20.9255
1.778,-20.9246
1.7874,-20.9238
1.7979,-20.9229
1.8083,-20.922
1.8176,-20.9212
1.8279,-20.9203
1.837,-20.9195
1.8473,-20.9186
1.8563,-20.9178
1.8664,-20.9169
1.8765,-20.916
1.8854,-20.9152
1.8953,-20.9143
1.9041,-20.9135
1.914,-20.9126
1.9227,-20.9118
1.9325,-20.9109
1.9411,-20.9101
1.9508,-20.9092
1.9604,-20.9083
1.9689,-20.9075
1.9785,-20.9066
1.9869,-20.9058
1.9963,-20.9049
2.0047,-20.9041
2.0141,-20.9032
2.0234,-20.9023
2.0316,-20.9015
2.0409,-20.9006
2.049,-20.8998
2.0582,-20.8989
2.0663,-20.8981
2.0754,-20.8972
2.0834,-20.8964
2.0924,-20.8955
2.1014,-20.8946
2.1093,-20.8938
2.1182,-20.8929
2.1261,-20.8921
2.1349,-20.8912
2.1428,-20.8904
2.1515,-20.8895
2.1593,-20.8887
2.168,-20.8878
2.1766,-20.8869
2.1843,-20.8861
2.1929,-20.8852
2.2005,-20.8844
2.209,-20.8835
2.2165,-20.8827
2.225,-20.8818
2.2334,-20.8809
2.2409,-20.8801
2.2493,-20.8792
2.2567,-20.8784
2.265,-20.8775
2.2724,-20.8767
2.2806,-20.8758
2.2879,-20.875
2.2961,-20.8741
2.3043,-20.8732
2.3115,-20.8724
2.3196,-20.8715
2.3268,-20.8707
2.3349,-20.8698
2.342,-20.869
2.35,-20.8681
2.358,-20.8672
2.3651,-20.8664
2.373,-20.8655
2.38,-20.8647
2.3879,-20.8638
2.3949,-20.863
2.4027,-20.8621
2.4096,-20.8613
2.4174,-20.8604
2.4252,-20.8595
2.4321,-20.8587
2.4398,-20.8578
2.4466,-20.857
2.4542,-20.8561
2.461,-20.8553
2.4687,-20.8544
2.4762,-20.8535
2.483,-20.8527
2.4905,-20.8518
2.4972,-20.851
2.5047,-20.8501
2.5114,-20.8493
2.5188,-20.8484
2.5254,-20.8476
2.5329,-20.8467
2.5403,-20.8458
2.5468,-20.845
2.5542,-20.8441
2.5607,-20.8433
2.568,-20.8424
2.5745,-20.8416
2.5818,-20.8407
2.589,-20.8398
2.5954,-20.839
2.6027,-20.8381
2.6091,-20.8373
2.6162,-20.8364
2.6226,-20.8356
2.6297,-20.8347
2.6361,-20.8339
2.6432,-20.833
2.6503,-20.8321
2.6565,-20.8313
2.6636,-20.8304
2.6698,-20.8296
2.6768,-20.8287
2.6831,-20.8279
2.69,-20.827
2.6962,-20.8262
2.7032,-20.8253
2.7101,-20.8244
2.7162,-20.8236
2.7231,-20.8227
2.7292,-20.8219
2.7361,-20.821
2.7422,-20.8202
2.749,-20.8193
2.7558,-20.8184
2.7618,-20.8176
2.7686,-20.8167
2.7746,-20.8159
2.7814,-20.815
2.7874,-20.8142
2.7941,-20.8133
2.8,-20.8125
2.8067,-20.8116
2.8134,-20.8107
2.8193,-20.8099
2.8259,-20.809
2.8318,-20.8082
2.8384,-20.8073
2.8443,-20.8065
2.8508,-20.8056
2.8574,-20.8047
2.8632,-20.8039
2.8698,-20.803
2.8755,-20.8022
2.882,-20.8013
2.8878,-20.8005
2.8943,-20.7996
2.9,-20.7988
2.9065,-20.7979
2.9129,-20.797
2.9186,-20.7962
2.925,-20.7953
2.9307,-20.7945
2.9371,-20.7936
2.9427,-20.7928
2.9491,-20.7919
2.9554,-20.791
2.9611,-20.7902
2.9674,-20.7893
2.973,-20.7885
2.9793,-20.7876
2.9848,-20.7868
2.9911,-20.7859
2.9967,-20.7851
3.0029,-20.7842
3.0091,-20.7833
3.0146,-20.7825
3.0208,-20.7816
3.0263,-20.7808
3.0325,-20.7799
3.038,-20.7791
3.0441,-20.7782
3.0503,-20.7773
3.0557,-20.7765
3.0618,-20.7756
3.0672,-20.7748
3.0733,-20.7739
3.0787,-20.7731
3.0848,-20.7722
3.0902,-20.7714
3.0962,-20.7705
3.1023,-20.7696
3.1076,-20.7688
3.1136,-20.7679
3.119,-20.7671
3.1249,-20.7662
3.1303,-20.7654
3.1362,-20.7645
3.1415,-20.7637
3.1475,-20.7628
3.1534,-20.7619
3.1586,-20.7611
3.1646,-20.7602
3.1698,-20.7594
3.1757,-20.7585
3.1809,-20.7577
3.1868,-20.7568
3.1926,-20.7559
3.1978,-20.7551
3.2037,-20.7542
3.2088,-20.7534
3.2147,-20.7525
3.2198,-20.7517
3.2256,-20.7508
3.2308,-20.75
3.2365,-20.7491
3.2423,-20.7482
3.2474,-20.7474
3.2532,-20.7465
3.2583,-20.7457
3.264,-20.7448
3.2691,-20.744
3.2748,-20.7431
3.2805,-20.7422
3.2855,-20.7414
3.2912,-20.7405
3.2962,-20.7397
3.3019,-20.7388
3.3069,-20.738
3.3126,-20.7371
3.3176,-20.7363
3.3232,-20.7354
3.3288,-20.7345
3.3338,-20.7337
3.3394,-20.7328
3.3443,-20.732
3.3499,-20.7311
3.3548,-20.7303
3.3604,-20.7294
3.366,-20.7285
3.3709,-20.7277
3.3764,-20.7268
3.3813,-20.726
3.3868,-20.7251
3.3917,-20.7243
3.3972,-20.7234
3.4021,-20.7226
3.4076,-20.7217
3.413,-20.7208
3.4179,-20.72
3.4233,-20.7191
3.4282,-20.7183
3.4336,-20.7174
3.4384,-20.7166
3.4439,-20.7157
3.4493,-20.7148
3.4541,-20.714
3.4595,-20.7131
3.4642,-20.7123
3.4696,-20.7114
3.4744,-20.7106
3.4798,-20.7097
3.4845,-20.7089
3.4899,-20.708
3.4952,-20.7071
3.4999,-20.7063
3.5052,-20.7054
3.51,-20.7046
3.5153,-20.7037
3.52,-20.7029
3.5253,-20.702
3.53,-20.7012
3.5352,-20.7003
3.5405,-20.6994
3.5452,-20.6986
3.5504,-20.6977
3.5551,-20.6969
3.5603,-20.696
3.565,-20.6952
3.5702,-20.6943
3.5754,-20.6934
3.58,-20.6926
3.5852,-20.6917
3.5898,-20.6909
3.595,-20.69
3.5996,-20.6892
3.6048,-20.6883
3.6094,-20.6875
3.6145,-20.6866
3.6197,-20.6857
3.6243,-20.6849
3.6294,-20.684
3.634,-20.6832
3.6391,-20.6823
3.6436,-20.6815
3.6487,-20.6806
3.6538,-20.6797
3.6583,-20.6789
3.6634,-20.678
3.6679,-20.6772
3.673,-20.6763
3.6775,-20.6755
3.6826,-20.6746
3.6871,-20.6738
3.6921,-20.6729
3.6971,-20.672
3.7016,-20.6712
3.7066,-20.6703
3.7111,-20.6695
3.7161,-20.6686
3.7205,-20.6678
3.7255,-20.6669
3.7305,-20.666
3.735,-20.6652
3.7399,-20.6643
3.7443,-20.6635
3.7493,-20.6626
3.7537,-20.6618
3.7587,-20.6609
3.7631,-20.6601
3.768,-20.6592
3.7729,-20.6583
3.7773,-20.6575
3.7822,-20.6566
3.7866,-20.6558
3.7915,-20.6549
3.7959,-20.6541
3.8008,-20.6532
3.8056,-20.6523
3.81,-20.6515
3.8149,-20.6506
3.8192,-20.6498
3.824,-20.6489
3.8284,-20.6481
3.8332,-20.6472
3.8375,-20.6464
3.8424,-20.6455
3.8472,-20.6446
3.8515,-20.6438
3.8563,-20.6429
3.8606,-20.6421
3.8654,-20.6412
3.8697,-20.6404
3.8745,-20.6395
3.8787,-20.6387
3.8835,-20.6378
3.8883,-20.6369
3.8925,-20.6361
3.8973,-20.6352
3.9015,-20.6344
3.9063,-20.6335
3.9105,-20.6327
3.9153,-20.6318
3.92,-20.6309
3.9242,-20.6301
3.9289,-20.6292
3.9331,-20.6284
3.9378,-20.6275
3.942,-20.6267
3.9467,-20.6258
3.9509,-20.625
3.9556,-20.6241
3.9603,-20.6232
3.9645,-20.6224
3.9691,-20.6215
3.9733,-20.6207
3.978,-20.6198
3.9821,-20.619
3.9868,-20.6181
3.9914,-20.6172
3.9956,-20.6164
4.0002,-20.6155
4.0043,-20.6147
4.0089,-20.6138
4.0131,-20.613
4.0177,-20.6121
4.0218,-20.6113
4.0264,-20.6104
4.031,-20.6095
4.0351,-20.6087
4.0397,-20.6078
4.0438,-20.607
4.0483,-20.6061
4.0524,-20.6053
4.057,-20.6044
4.0616,-20.6035
4.0656,-20.6027
4.0702,-20.6018
4.0742,-20.601
4.0788,-20.6001
4.0828,-20.5993
4.0873,-20.5984
4.0914,-20.5976
4.0959,-20.5967
4.1004,-20.5958
4.1044,-20.595
4.1089,-20.5941
4.113,-20.5933
4.1175,-20.5924
4.1215,-20.5916
4.126,-20.5907
4.1304,-20.5898
4.1344,-20.589
4.1389,-20.5881
4.1429,-20.5873
4.1474,-20.5864
4.1513,-20.5856
4.1558,-20.5847
4.1597,-20.5839
4.1642,-20.583
4.1686,-20.5821
4.1726,-20.5813
4.177,-20.5804
4.181,-20.5796
4.1854,-20.5787
4.1893,-20.5779
4.1937,-20.577
4.1977,-20.5762
4.2021,-20.5753
4.2065,-20.5744
4.2104,-20.5736
4.2148,-20.5727
4.2187,-20.5719
4.2231,-20.571
4.227,-20.5702
4.2313,-20.5693
4.2357,-20.5684
4.2396,-20.5676
4.244,-20.5667
4.2478,-20.5659
4.2522,-20.565
4.2561,-20.5642
4.2604,-20.5633
4.2643,-20.5625
4.2686,-20.5616
4.2729,-20.5607
4.2768,-20.5599
4.2811,-20.559
4.285,-20.5582
4.2893,-20.5573
4.2931,-20.5565
4.2974,-20.5556
4.3017,-20.5547
4.3055,-20.5539
4.3098,-20.553
4.3136,-20.5522
4.3179,-20.5513
4.3217,-20.5505
4.326,-20.5496
4.3298,-20.5488
4.3341,-20.5479
4.3383,-20.547
4.3421,-20.5462
4.3464,-20.5453
4.3502,-20.5445
4.3544,-20.5436
4.3582,-20.5428
4.3624,-20.5419
4.3667,-20.541
4.3704,-20.5402
4.3747,-20.5393
4.3784,-20.5385
4.3826,-20.5376
4.3864,-20.5368
4.3906,-20.5359
4.3943,-20.5351
4.3985,-20.5342
4.4027,-20.5333
4.4065,-20.5325
4.4107,-20.5316
4.4144,-20.5308
4.4186,-20.5299
4.4223,-20.5291
4.4264,-20.5282
4.4306,-20.5273
4.4343,-20.5265
4.4385,-20.5256
4.4422,-20.5248
4.4463,-20.5239
4.45,-20.5231
4.4542,-20.5222
4.4579,-20.5214
4.462,-20.5205
4.4661,-20.5196
4.4698,-20.5188
4.4739,-20.5179
4.4776,-20.5171
4.4817,-20.5162
4.4854,-20.5154
4.4895,-20.5145
4.4932,-20.5137
4.4973,-20.5128
4.5014,-20.5119
4.505,-20.5111
4.5091,-20.5102
4.5128,-20.5094
4.5168,-20.5085
4.5205,-20.5077
4.5246,-20.5068
4.5286,-20.5059
4.5323,-20.5051
4.5363,-20.5042
4.5399,-20.5034
4.544,-20.5025
4.5476,-20.5017
4.5517,-20.5008
4.5553,-20.5
4.5593,-20.4991
4.5634,-20.4982
4.567,-20.4974
4.571,-20.4965
4.5746,-20.4957
4.5786,-20.4948
4.5822,-20.494
4.5862,-20.4931
4.5902,-20.4922
4.5938,-20.4914
4.5978,-20.4905
4.6014,-20.4897
4.6054,-20.4888
4.6089,-20.488
4.6129,-20.4871
4.6165,-20.4863
4.6205,-20.4854
4.6245,-20.4845
4.628,-20.4837
4.632,-20.4828
4.6355,-20.482
4.6395,-20.4811
4.643,-20.4803
4.647,-20.4794
4.651,-20.4785
4.6545,-20.4777
4.6584,-20.4768
4.662,-20.476
4.6659,-20.4751
4.6694,-20.4743
4.6734,-20.4734
4.6769,-20.4726
4.6808,-20.4717
4.6847,-20.4708
4.6882,-20.47
4.6922,-20.4691
4.6957,-20.4683
4.6996,-20.4674
4.7031,-20.4666
4.707,-20.4657
4.7109,-20.4648
4.7144,-20.464
4.7183,-20.4631
4.7217,-20.4623
4.7256,-20.4614
4.7291,-20.4606
4.733,-20.4597
4.7364,-20.4589
4.7403,-20.458
4.7442,-20.4571
4.7477,-20.4563
4.7515,-20.4554
4.755,-20.4546
4.7588,-20.4537
4.7623,-20.4529
4.7661,-20.452
4.7696,-20.4512
4.7734,-20.4503
4.7773,-20.4494
4.7807,-20.4486
4.7846,-20.4477
4.788,-20.4469
4.7918,-20.446
4.7952,-20.4452
4.7991,-20.4443
4.8029,-20.4434
4.8063,-20.4426
4.8101,-20.4417
4.8135,-20.4409
4.8174,-20.44
4.8207,-20.4392
4.8246,-20.4383
4.8279,-20.4375
4.8318,-20.4366
4.8356,-20.4357
4.8389,-20.4349
4.8427,-20.434
4.8461,-20.4332
4.8499,-20.4323
4.8533,-20.4315
4.8571,-20.4306
4.8608,-20.4297
4.8642,-20.4289
4.868,-20.428
4.8713,-20.4272
4.8751,-20.4263
4.8785,-20.4255
4.8822,-20.4246
4.8856,-20.4238
4.8893,-20.4229
4.8931,-20.422
4.8964,-20.4212
4.9002,-20.4203
4.9035,-20.4195
4.9073,-20.4186
4.9106,-20.4178
4.9143,-20.4169
4.9181,-20.416
4.9214,-20.4152
4.9251,-20.4143
4.9284,-20.4135
4.9322,-20.4126
4.9355,-20.4118
4.9392,-20.4109
4.9425,-20.4101
4.9462,-20.4092
4.9499,-20.4083
4.9532,-20.4075
4.9569,-20.4066
4.9602,-20.4058
4.9639,-20.4049
4.9672,-20.4041
4.9709,-20.4032
4.9746,-20.4023
4.9779,-20.4015
4.9816,-20.4006
4.9848,-20.3998
4.9885,-20.3989
4.9918,-20.3981
4.9955,-20.3972
4.9987,-20.3964
5.0024,-20.3955
5.0061,-20.3946
5.0093,-20.3938
5.013,-20.3929
5.0162,-20.3921
5.0199,-20.3912
5.0232,-20.3904
5.0268,-20.3895
5.0301,-20.3887
5.0337,-20.3878
5.0373,-20.3869
5.0406,-20.3861
5.0442,-20.3852
5.0474,-20.3844
5.0511,-20.3835
5.0543,-20.3827
5.0579,-20.3818
5.0616,-20.3809
5.0648,-20.3801
5.0684,-20.3792
5.0716,-20.3784
5.0752,-20.3775
5.0784,-20.3767
5.0821,-20.3758
5.0853,-20.375
5.0889,-20.3741
5.0925,-20.3732
5.0957,-20.3724
5.0993,-20.3715
5.1025,-20.3707
5.1061,-20.3698
5.1092,-20.369
5.1128,-20.3681
5.1164,-20.3672
5.1196,-20.3664
5.1232,-20.3655
5.1264,-20.3647
5.1299,-20.3638
5.1331,-20.363
5.1367,-20.3621
5.1398,-20.3613
5.1434,-20.3604
5.147,-20.3595
5.1501,-20.3587
5.1537,-20.3578
5.1568,-20.357
5.1604,-20.3561
5.1636,-20.3553
5.1671,-20.3544
5.1706,-20.3535
5.1738,-20.3527
5.1773,-20.3518
5.1805,-20.351
5.184,-20.3501
5.1871,-20.3493
5.1907,-20.3484
5.1938,-20.3476
5.1973,-20.3467
5.2009,-20.3458
5.204,-20.345
5.2075,-20.3441
5.2106,-20.3433
5.2141,-20.3424
5.2173,-20.3416
5.2208,-20.3407
5.2243,-20.3398
5.2274,-20.339
5.2309,-20.3381
5.234,-20.3373
5.2375,-20.3364
5.2406,-20.3356
5.2441,-20.3347
5.2472,-20.3339
5.2507,-20.333
5.2542,-20.3321
5.2573,-20.3313
5.2607,-20.3304
5.2638,-20.3296
5.2673,-20.3287
5.2704,-20.3279
5.2739,-20.327
5.2769,-20.3262
5.2804,-20.3253
5.2839,-20.3244
5.2869,-20.3236
5.2904,-20.3227
5.2935,-20.3219
5.2969,-20.321
5.3,-20.3202
5.3034,-20.3193
5.3069,-20.3184
5.31,-20.3176
5.3134,-20.3167
5.3165,-20.3159
5.3199,-20.315
5.323,-20.3142
5.3264,-20.3133
5.3294,-20.3125
5.3329,-20.3116
5.3363,-20.3107
5.3393,-20.3099
5.3428,-20.309
5.3458,-20.3082
5.3492,-20.3073
5.3523,-20.3065
5.3557,-20.3056
5.3591,-20.3047
5.3621,-20.3039
5.3655,-20.303
5.3685,-20.3022
5.3719,-20.3013
5.375,-20.3005
5.3784,-20.2996
5.3814,-20.2988
5.3848,-20.2979
5.3882,-20.297
5.3912,-20.2962
5.3946,-20.2953
5.3976,-20.2945
5.401,-20.2936
5.404,-20.2928
5.4073,-20.2919
5.4107,-20.291
5.4137,-20.2902
5.4171,-20.2893
5.4201,-20.2885
5.4235,-20.2876
5.4264,-20.2868
5.4298,-20.2859
5.4328,-20.2851
5.4362,-20.2842
5.4395,-20.2833
5.4425,-20.2825
5.4458,-20.2816
5.4488,-20.2808
5.4522,-20.2799
5.4551,-20.2791
5.4585,-20.2782
5.4618,-20.2773
5.4648,-20.2765
5.4681,-20.2756
5.4711,-20.2748
5.4744,-20.2739
5.4774,-20.2731
5.4807,-20.2722
5.4837,-20.2714
5.487,-20.2705
5.4903,-20.2696
5.4933,-20.2688
5.4966,-20.2679
5.4996,-20.2671
5.5029,-20.2662
5.5058,-20.2654
5.5091,-20.2645
5.5121,-20.2637
5.5154,-20.2628
5.5187,-20.2619
5.5216,-20.2611
5.5249,-20.2602
5.5279,-20.2594
5.5312,-20.2585
5.5341,-20.2577
5.5374,-20.2568
5.5407,-20.2559
5.5436,-20.2551
5.5469,-20.2542
5.5498,-20.2534
5.5531,-20.2525
5.556,-20.2517
5.5593,-20.2508
5.5622,-20.25
5.5655,-20.2491
5.5687,-20.2482
5.5717,-20.2474
5.5749,-20.2465
5.5778,-20.2457
5.5811,-20.2448
5.584,-20.244
5.5873,-20.2431
5.5905,-20.2422
5.5934,-20.2414
5.5967,-20.2405
5.5996,-20.2397
5.6028,-20.2388
5.6057,-20.238
5.609,-20.2371
5.6118,-20.2363
5.6151,-20.2354
5.6183,-20.2345
5.6212,-20.2337
5.6244,-20.2328
5.6273,-20.232
5.6306,-20.2311
5.6334,-20.2303
5.6367,-20.2294
