x,y
0.0,-30
0.2191,-29.9992
0.3194,-29.9983
0.3873,-29.9975
0.4517,-29.9966
0.502,-29.9958
0.5477,-29.995
0.5899,-29.9942
0.6293,-29.9934
0.6663,-29.9926
0.7014,-29.9918
0.7348,-29.991
0.7668,-29.9902
0.7975,-29.9894
0.827,-29.9886
0.8555,-29.9878
0.8831,-29.987
0.9132,-29.9861
0.9391,-29.9853
0.9674,-29.9844
0.9919,-29.9836
1.0158,-29.9828
1.0391,-29.982
1.062,-29.9812
1.0843,-29.9804
1.1062,-29.9796
1.1277,-29.9788
1.1488,-29.978
1.1694,-29.9772
1.1898,-29.9764
1.2098,-29.9756
1.2294,-29.9748
1.2512,-29.9739
1.2702,-29.9731
1.2913,-29.9722
1.3097,-29.9714
1.3279,-29.9706
1.3458,-29.9698
1.3635,-29.969
1.381,-29.9682
1.3982,-29.9674
1.4153,-29.9666
1.4321,-29.9658
1.4488,-29.965
1.4652,-29.9642
1.4815,-29.9634
1.4976,-29.9626
1.5155,-29.9617
1.5312,-29.9609
1.5487,-29.96
1.5641,-29.9592
1.5794,-29.9584
1.5945,-29.9576
1.6094,-29.9568
1.6243,-29.956
1.6389,-29.9552
1.6535,-29.9544
1.6679,-29.9536
1.6822,-29.9528
1.6964,-29.952
1.7105,-29.9512
1.7244,-29.9504
1.74,-29.9495
1.7537,-29.9487
1.769,-29.9478
1.7825,-29.947
1.7959,-29.9462
1.8092,-29.9454
1.8224,-29.9446
1.8355,-29.9438
1.8485,-29.943
1.8614,-29.9422
1.8742,-29.9414
1.887,-29.9406
1.8996,-29.9398
1.9122,-29.939
1.9247,-29.9382
1.9386,-29.9373
1.9509,-29.9365
1.9632,-29.9357
1.9753,-29.9349
1.9874,-29.9341
1.9994,-29.9333
2.0114,-29.9325
2.0232,-29.9317
2.0351,-29.9309
2.0468,-29.9301
2.0584,-29.9293
2.07,-29.9285
2.0816,-29.9277
2.0931,-29.9269
2.1045,-29.9261
2.1158,-29.9253
2.1271,-29.9245
2.1397,-29.9236
2.1509,-29.9228
2.1634,-29.9219
2.1744,-29.9211
2.1854,-29.9203
2.1963,-29.9195
2.2072,-29.9187
2.218,-29.9179
2.2288,-29.9171
2.2395,-29.9163
2.2501,-29.9155
2.2607,-29.9147
2.2713,-29.9139
2.2818,-29.9131
2.2923,-29.9123
2.304,-29.9114
2.3144,-29.9106
2.326,-29.9097
2.3362,-29.9089
2.3464,-29.9081
2.3566,-29.9073
2.3667,-29.9065
2.3768,-29.9057
2.3869,-29.9049
2.3969,-29.9041
2.4068,-29.9033
2.4168,-29.9025
2.4266,-29.9017
2.4365,-29.9009
2.4463,-29.9001
2.4573,-29.8992
2.467,-29.8984
2.4779,-29.8975
2.4875,-29.8967
2.4971,-29.8959
2.5066,-29.8951
2.5162,-29.8943
2.5257,-29.8935
2.5351,-29.8927
2.5445,-29.8919
2.5539,-29.8911
2.5632,-29.8903
